id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
411,205,410,1230,1224,434674,100,10,1000,40

412,206,413,1340,1230,817478,1000,1,1000,144

413,206,412,1230,1340,506031,100,10,1000,40

414,207,415,3242,1230,570995,1000,1,1000,40

415,207,414,1230,3242,362039,1000,200,1000,40

416,208,417,2075,1230,137998,1000,1500,1000,144

417,208,416,1230,2075,698020,562,108,1000,40

418,209,419,379,1230,802297,1000,1,1000,40

419,209,418,1230,379,126983,1000,200,1000,40

420,210,421,1132,1230,298301,5000,500,1000,40

421,210,420,1230,1132,706413,741,145,1000,40

422,211,423,1438,1230,1084793,1,19,1000,40

423,211,422,1230,1438,244666,100,10,1,40

424,212,425,1223,1230,882782,0,1,1000,144

425,212,424,1230,1223,25339,1000,200,1000,40

426,213,427,1425,1230,591480,1000,1,1000,144

427,213,426,1230,1425,855885,1000,200,1000,40

428,214,429,3500,1230,438215,1000,1,1000,40

429,214,428,1230,3500,642057,538,102,1000,40

430,215,431,3505,1230,71882,1000,1000,1000,40

431,215,430,1230,3505,797811,1000,200,1000,40

432,216,433,1275,1230,237151,1000,1,1000,144

433,216,432,1230,1275,636399,1000,200,1000,40

434,217,435,1957,1230,175387,0,0,0,0

435,217,434,1230,1957,773239,1000,200,1000,40

436,218,437,2680,1230,137510,1000,10,1000,14

437,218,436,1230,2680,1199102,527,100,0,40

438,219,439,1275,1230,469894,1000,1,1000,40

439,219,438,1230,1275,593944,100,10,1000,40

440,220,441,1106,1230,357640,0,1,1000,144

441,220,440,1230,1106,603780,1000,200,1000,40

442,221,443,1237,1230,343217,1000,23,1000,40

443,221,442,1230,1237,880475,1000,200,1000,40

444,222,445,2213,1230,543159,0,0,0,0

445,222,444,1230,2213,48455,1000,200,1000,40

446,223,447,2717,1230,337857,1000,25,1000,40

447,223,446,1230,2717,882277,1000,200,1000,40

448,224,449,1635,1230,110373,1000,1,1000,40

449,224,448,1230,1635,901409,797,157,1000,40

450,225,451,1237,1230,616387,1000,23,1000,40

451,225,450,1230,1237,119628,100,10,1000,40

452,226,453,1444,1230,631693,0,1000,1000,144

453,226,452,1230,1444,322935,100,10,1000,40

454,227,455,3070,1230,322700,2580,12,1000,40

455,227,454,1230,3070,993744,521,99,0,40

456,228,457,1311,1230,13419,1000,1,1000,40

457,228,456,1230,1311,542308,100,10,1000,40

458,229,459,1348,1230,1026546,800,10,1000,144

459,229,458,1230,1348,83772,100,10,1000,40

460,230,461,1348,1230,368958,800,189,1000,144

461,230,460,1230,1348,614646,949,189,1000,40

462,231,463,2708,1230,877408,1000,1,1000,20

463,231,462,1230,2708,144121,100,10,1000,40

464,232,465,2341,1230,251205,1000,1,1000,40

465,232,464,1230,2341,827024,100,10,1000,40

466,233,467,3845,1230,154913,1000,1000,1000,40

467,233,466,1230,3845,995890,1000,200,1000,40

468,234,469,1455,1230,493595,0,1000,1000,9

469,234,468,1230,1455,312035,100,10,1000,40

470,235,471,2993,1230,604669,1000,100,1000,40

471,235,470,1230,2993,253288,296,51,1000,40

472,236,473,1710,1230,255972,1999,499,1,14

473,236,472,1230,1710,666705,552,105,1000,40

474,237,475,6064,1230,65528,10,1,1000,40

475,237,474,1230,6064,1547844,1000,200,1000,40

476,238,477,1277,1230,41594,1000,1,1000,144

477,238,476,1230,1277,1033219,100,10,1000,40

478,239,479,1165,516,262623,1000,1,1000,144

479,239,478,516,1165,878773,0,0,0,0

480,240,481,1277,869,474434,1000,1,1000,144

481,240,480,869,1277,257211,0,0,0,0

482,241,483,1165,2181,762274,1000,1,1000,144

483,241,482,2181,1165,361866,0,0,0,0

484,242,485,1165,1762,198559,1000,1,1000,144

485,242,484,1762,1165,476108,1000,1,1000,144

486,243,487,1136,1230,280045,0,1000,1000,30

487,243,486,1230,1136,695373,892,177,1,40

488,244,489,1165,3388,154185,1000,1,1000,40

489,244,488,3388,1165,1021773,1000,1,1000,40

490,245,491,3993,1230,1044544,1000,1,1000,40

491,245,490,1230,3993,12457,773,152,1000,40

492,246,493,5926,1230,279751,1000,1,1000,40

493,246,492,1230,5926,979500,1000,200,1000,40

494,247,495,2016,1230,243377,1000,1,1000,144

495,247,494,1230,2016,4816,1000,200,1000,40

496,248,497,2502,1230,1138060,1000,1,1,40

497,248,496,1230,2502,99672,100,10,1000,40

498,249,499,1121,1230,712833,99,1,1000,144

499,249,498,1230,1121,244485,606,117,1000,40

500,250,501,1410,1230,329799,1000,1,1000,144

501,250,500,1230,1410,510875,603,116,1000,40

502,251,503,3013,985,154234,1000,1,1000,144

503,251,502,985,3013,1054385,1000,535,1000,40

504,252,505,1324,1230,620371,10000,10,1000,40

505,252,504,1230,1324,629099,491,93,1000,40

506,253,507,1437,1230,294256,0,1,1000,144

507,253,506,1230,1437,668480,303,53,1000,40

508,254,509,1324,1230,660920,10000,10,1000,40

509,254,508,1230,1324,615916,925,184,1000,40

510,255,511,1305,1230,1004497,1000,1,1000,40

511,255,510,1230,1305,166721,449,84,1000,40

512,256,513,2232,1230,389618,2000,200,1000,144

513,256,512,1230,2232,894638,774,152,1000,40

514,257,515,2094,1230,545923,0,0,1000,15

515,257,514,1230,2094,371482,380,69,1000,40

516,258,517,950,1230,905303,0,10,1000,144

517,258,516,1230,950,65175,627,121,1000,40

518,259,519,538,1230,452966,1000,10,1000,14

519,259,518,1230,538,495103,100,10,0,40

520,260,521,5817,1230,428870,0,19,1000,144

521,260,520,1230,5817,630750,549,105,1000,40

522,261,523,3100,1230,146919,1000,1,1000,40

523,261,522,1230,3100,1339349,456,85,1000,40

524,262,525,1358,1230,272956,0,0,1000,29

525,262,524,1230,1358,573014,469,88,1000,40

526,263,527,2852,1230,224746,1000,50,1000,40

527,263,526,1230,2852,566006,100,10,1000,40

528,264,529,1421,1230,603380,1,5,1000,40

529,264,528,1230,1421,550549,832,164,1000,40

530,265,531,3887,4327,623851,0,500,1000,40

531,265,530,4327,3887,11033,0,0,1000,48

532,266,533,3150,840,62417,1000,1,1000,40

533,266,532,840,3150,996585,1000,1000,1000,40

534,267,535,1230,1459,409823,1000,200,1000,40

535,267,534,1459,1230,673308,1,1,1000,144

536,268,537,1230,194,439663,740,145,0,40

537,268,536,194,1230,340346,1000,10,1000,14

538,269,539,1230,4044,752199,556,106,1000,40

